layer	phase	total	max_share	k16	k32	k48	k64	k96	k128
0	prefill	12288	0.1319	0.3963	0.5034	0.5819	0.6440	0.7409	0.8161
1	prefill	12288	0.0897	0.3697	0.4878	0.5732	0.6372	0.7349	0.8106
2	prefill	12288	0.1326	0.4862	0.6188	0.6973	0.7533	0.8378	0.8949
3	prefill	12288	0.1119	0.4900	0.6264	0.7109	0.7734	0.8620	0.9164
4	prefill	12288	0.0808	0.4910	0.6047	0.6817	0.7387	0.8252	0.8887
5	prefill	12288	0.0562	0.4342	0.5613	0.6447	0.7090	0.8036	0.8687
6	prefill	12288	0.0684	0.4899	0.6388	0.7176	0.7748	0.8589	0.9092
7	prefill	12288	0.1061	0.6484	0.7643	0.8246	0.8682	0.9197	0.9533
8	prefill	12288	0.0655	0.4890	0.6554	0.7427	0.8046	0.8810	0.9303
9	prefill	12288	0.0723	0.4218	0.5697	0.6743	0.7465	0.8473	0.9053
10	prefill	12288	0.0548	0.3620	0.5014	0.6007	0.6825	0.8022	0.8796
11	prefill	12288	0.0407	0.3780	0.5445	0.6500	0.7296	0.8350	0.9013
12	prefill	12288	0.0645	0.4020	0.5592	0.6591	0.7314	0.8306	0.8944
13	prefill	12288	0.0779	0.3369	0.4841	0.5776	0.6514	0.7703	0.8536
14	prefill	12288	0.0461	0.4255	0.5776	0.6771	0.7497	0.8511	0.9158
15	prefill	12288	0.1344	0.4466	0.5806	0.6737	0.7415	0.8356	0.8934
16	prefill	12288	0.0453	0.4019	0.5938	0.7074	0.7840	0.8885	0.9396
17	prefill	12288	0.0754	0.4240	0.5806	0.6897	0.7655	0.8590	0.9159
18	prefill	12288	0.0629	0.4840	0.6441	0.7404	0.8113	0.8949	0.9421
19	prefill	12288	0.0785	0.3262	0.4591	0.5499	0.6213	0.7285	0.8073
20	prefill	12288	0.0728	0.5094	0.6662	0.7629	0.8297	0.9039	0.9464
21	prefill	12288	0.0645	0.4686	0.6145	0.6957	0.7555	0.8401	0.8986
